ID,TOOL,import_export,flexibility,metamodel_configuration,quick_setup,analyze,risk,standard_framework,out_of_box,report,portal,integration,modeling_features,search,portfolio,interface,visualization,decision_making,collab,support,cloud base,cost,agile,customize,Survey,simulate,IDE,model_to_code,regular_update,UML,automation,api,share,present,easy_use,function,breadth,total_cost,powerfull_users,customer,relation,road,expert,partnership,focus,sustain,repo_meta,model,decision,present ,admin ,config,std,use ,bank,gov,it,health,insurance,financial,manu,edu,retail,commodities,energy,other,VOTERS
1,iServer365,7,8,7,9,9,6,6,8,9,6,11,3,0,3,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,0,6,0,6,4,0,0,4,9,9,8,8,8,9,9,9,0.12,0.12,0.11,0.08,0,0,0,0,0,0,0,0.57,412
2,Hopex,0,0,0,0,0,8,0,0,3,0,3,0,6,7,0,4,0,9,3,6,7,6,4,0,0,0,0,0,0,0,0,0,0,0,6,6,4,0,0,0,3,5,0,0,3,9,9,8,8,8,9,9,8,0.21,0.08,0.08,0,0.07,0,0,0,0,0,0,0.56,211
3,Sparx Systems Enterprise Architect,0,0,3,0,4,0,10,0,0,0,0,4,0,0,0,0,4,6,0,0,0,0,0,0,6,6,6,0,6,0,0,0,0,4,6,0,8,4,0,5,0,0,0,0,0,8,8,7,7,8,9,9,8,0,0,0.24,0,0.09,0.08,0.08,0,0,0,0,0.52,178
4,Enterprise Architecture Management - LeanIX,0,0,0,0,0,6,0,7,0,6,7,0,6,0,3,3,0,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,7,3,0,8,0,7,4,0,0,0,9,8,8,8,9,8,8,9,0,0,0.09,0.1,0,0,0.2,0,0.09,0,0,0.53,154
5,Bizzdesign Enterprise Studio,0,0,7,0,0,0,11,0,11,0,7,7,0,0,0,0,7,7,7,4,0,0,0,0,0,0,0,0,0,3,0,3,3,7,9,5,5,0,0,0,6,6,5,5,0,9,9,8,8,8,8,9,8,0.09,0.12,0.11,0,0,0,0,0.11,0,0,0,0.55,139
6,Abacus,0,9,0,0,0,0,6,0,7,0,8,6,0,0,0,6,0,9,0,7,0,0,6,0,0,0,0,6,0,0,0,0,0,3,8,3,5,0,0,0,3,3,0,0,0,9,9,8,8,8,9,9,8,0.12,0,0.12,0,0.12,0,0.1,0,0,0,0,0.55,126
7,ADOIT,0,0,9,0,13,0,9,0,0,0,0,0,8,0,9,4,6,0,5,0,6,0,0,0,0,0,0,9,0,0,6,0,0,4,8,3,4,0,0,3,5,7,7,6,3,9,9,8,8,8,8,9,9,0.18,0.08,0,0,0.12,0,0,0.09,0,0,0,0.51,117
8,erwin Evolve,0,0,10,10,0,0,0,0,0,6,6,10,0,0,9,10,7,6,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,10,7,3,3,5,0,5,7,6,0,4,4,9,8,7,8,8,8,8,8,0.11,0,0.11,0,0.08,0,0,0,0,0,0,0.68,107
9,Ardoq,0,9,3,0,9,6,0,10,6,0,0,0,0,0,6,9,6,6,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10,3,0,0,3,0,5,0,0,0,0,9,8,8,8,8,8,8,8,0,0,0.16,0,0,0.12,0,0.1,0,0,0.09,0.53,81
10,Alfabet Enterprise Architecture Management,0,0,0,3,0,0,8,0,3,0,0,0,0,0,0,0,6,0,0,6,0,0,10,0,0,0,0,0,0,0,7,0,0,0,6,3,4,0,4,0,5,3,5,0,0,9,8,8,7,7,8,8,7,0.17,0,0,0,0,0,0.17,0,0,0.08,0.08,0.5,79
